epoch,loss,binary_loss,generator_loss,val_binary_balanced_accuracy,val_binary_recall,val_macro_generator_recall,val_worst_generator_recall,checkpoint_score,best_checkpoint
1,0.54123162,0.54123162,2.02311865,0.80900377,0.72072072,0.20839385,0.0,0.69044677,1.0
2,0.37643121,0.37643121,1.97440683,0.82447098,0.77297297,0.06882781,0.0,0.67608524,0.0
3,0.50015085,0.31185082,1.25533345,0.86067463,0.89189189,0.70092888,0.19130435,0.84031934,1.0
4,0.37811909,0.26626472,0.7456957,0.83842971,0.73693694,0.68318155,0.15306122,0.82449239,0.0
5,0.30760527,0.22467821,0.55284708,0.86672952,0.83423423,0.78716739,0.41836735,0.86633112,1.0
6,0.27460038,0.20572811,0.45914843,0.85000524,0.76396396,0.74053659,0.01020408,0.85128007,0.0
7,0.24825016,0.18609523,0.41436621,0.89975906,0.85765766,0.80882259,0.66326531,0.8951777,1.0
8,0.2257369,0.1724132,0.35549128,0.87091452,0.77477477,0.82113672,0.64347826,0.87177722,0.0
9,0.19709112,0.15521162,0.27919661,0.87973497,0.82342342,0.81132258,0.60204082,0.88009069,0.0
10,0.18769561,0.14585496,0.2789377,0.89532265,0.84684685,0.71604987,0.04081633,0.88194205,0.0
11,0.19378201,0.14718414,0.31065242,0.8837995,0.79279279,0.75561079,0.56122449,0.86944278,0.0
12,0.16738042,0.13123005,0.24100242,0.91369684,0.8990991,0.90481207,0.81632653,0.91696106,1.0
13,0.16087051,0.12515899,0.23807685,0.88366331,0.7963964,0.82796561,0.57142857,0.88495193,0.0
14,0.16913753,0.12962831,0.26339482,0.90912424,0.89189189,0.8709522,0.70408163,0.90723349,0.0
15,0.13575376,0.10319,0.21709175,0.92297821,0.90990991,0.80155993,0.48695652,0.9138874,0.0
16,0.13719807,0.10506446,0.21422405,0.87929499,0.78378378,0.75045298,0.36521739,0.87005738,0.0
17,0.11826487,0.09233652,0.17285567,0.90695056,0.84684685,0.81947678,0.43877551,0.90303051,0.0
18,0.13862829,0.09918164,0.26297762,0.89812487,0.9009009,0.86219754,0.68695652,0.89886599,0.0
19,0.10830366,0.08422933,0.1604955,0.87806411,0.91891892,0.86000187,0.48695652,0.88307764,0.0
20,0.15111984,0.11912409,0.21330497,0.80430023,0.61441441,0.7805326,0.53061224,0.81599516,0.0
21,0.09985643,0.07190751,0.18632615,0.87762414,0.87927928,0.8901997,0.60869565,0.88746074,0.0
22,0.10715565,0.08452373,0.15087944,0.89772156,0.80900901,0.8267778,0.51304348,0.8933808,0.0
23,0.10697935,0.08580474,0.14116403,0.85544731,0.72252252,0.8519443,0.58163265,0.86521702,0.0
24,0.10523888,0.0823766,0.15241521,0.86736329,0.74054054,0.8501738,0.65306122,0.87520431,0.0
25,0.09793194,0.07410309,0.15885901,0.89895768,0.9045045,0.83648208,0.67346939,0.89736476,0.0
26,0.08784094,0.06986485,0.11984063,0.91383302,0.8954955,0.85736737,0.74489796,0.9108446,0.0
