split,generator_label,generator_prediction,count
test,dlc,dlc,63
test,dlc,ltx2,4
test,dlc,ovi,1
test,dlc,sadtalker,2
test,dlc,unknown_or_other,21
test,liveavatar,dlc,5
test,liveavatar,liveavatar,86
test,liveavatar,ltx2,1
test,liveavatar,sadtalker,2
test,liveavatar,unknown_or_other,7
test,ltx2,liveavatar,1
test,ltx2,ltx2,126
test,ltx2,ovi,1
test,ltx2,sadtalker,1
test,ovi,dlc,1
test,ovi,liveavatar,1
test,ovi,ovi,43
test,ovi,unknown_or_other,1
test,sadtalker,dlc,4
test,sadtalker,liveavatar,1
test,sadtalker,sadtalker,58
test,sadtalker,unknown_or_other,3
test,unknown_or_other,dlc,12
test,unknown_or_other,liveavatar,1
test,unknown_or_other,ltx2,2
test,unknown_or_other,ovi,2
test,unknown_or_other,sadtalker,1
test,unknown_or_other,unknown_or_other,69
train,dlc,dlc,455
train,dlc,liveavatar,1
train,dlc,ltx2,1
train,dlc,ovi,3
train,dlc,sadtalker,6
train,dlc,unknown_or_other,34
train,liveavatar,dlc,9
train,liveavatar,liveavatar,465
train,liveavatar,ltx2,1
train,liveavatar,ovi,3
train,liveavatar,sadtalker,6
train,liveavatar,unknown_or_other,16
train,ltx2,ltx2,497
train,ltx2,ovi,2
train,ltx2,sadtalker,1
train,ovi,dlc,3
train,ovi,ltx2,1
train,ovi,ovi,385
train,sadtalker,dlc,8
train,sadtalker,sadtalker,491
train,sadtalker,unknown_or_other,1
train,unknown_or_other,dlc,77
train,unknown_or_other,liveavatar,1
train,unknown_or_other,ovi,2
train,unknown_or_other,unknown_or_other,351
val,dlc,dlc,80
val,dlc,sadtalker,1
val,dlc,unknown_or_other,17
val,liveavatar,dlc,3
val,liveavatar,liveavatar,87
val,liveavatar,ovi,1
val,liveavatar,sadtalker,1
val,liveavatar,unknown_or_other,9
val,ltx2,liveavatar,1
val,ltx2,ltx2,121
val,ltx2,ovi,7
val,ovi,dlc,1
val,ovi,ltx2,1
val,ovi,ovi,42
val,ovi,sadtalker,1
val,ovi,unknown_or_other,1
val,sadtalker,dlc,2
val,sadtalker,sadtalker,64
val,unknown_or_other,dlc,7
val,unknown_or_other,liveavatar,1
val,unknown_or_other,unknown_or_other,107
