split,generator_id,count,generator_recall,binary_recall
train,dlc,500,0.91,0.956
train,liveavatar,500,0.93,0.992
train,ltx2,500,0.994,0.998
train,ovi,389,0.9897172236503856,0.987146529562982
train,sadtalker,500,0.982,1.0
train,unknown_or_other,431,0.814385150812065,0.9698375870069605
val,dlc,98,0.8163265306122449,0.9081632653061225
val,liveavatar,101,0.8613861386138614,0.9108910891089109
val,ltx2,129,0.937984496124031,0.9922480620155039
val,ovi,46,0.9130434782608695,0.9782608695652174
val,sadtalker,66,0.9696969696969697,0.9848484848484849
val,unknown_or_other,115,0.9304347826086956,0.6956521739130435
test,dlc,91,0.6923076923076923,0.978021978021978
test,liveavatar,101,0.8514851485148515,0.900990099009901
test,ltx2,129,0.9767441860465116,0.9844961240310077
test,ovi,46,0.9347826086956522,0.9347826086956522
test,sadtalker,66,0.8787878787878788,0.9545454545454546
test,unknown_or_other,87,0.7931034482758621,0.7701149425287356
