epoch,loss,binary_loss,generator_loss,elapsed_seconds,val_binary_balanced_accuracy,val_binary_recall,val_binary_predicted_fake_rate,val_real_binary_probability_mean,val_fake_binary_probability_mean,val_macro_generator_recall,val_worst_generator_recall,val_known_generator_precision,val_known_generator_coverage,val_known_generator_precision_at_coverage,generator_loss_weight,checkpoint_score,best_checkpoint
1,0.54123162,0.54123162,2.02311865,19.84776162,0.80900377,0.72072072,0.42296919,0.13013823,0.69745569,0.20839385,0.00000000,0.22404372,0.83181818,0.22404372,0.00000000,0.69044677,1
2,0.37643121,0.37643121,1.97440683,18.15716086,0.82447098,0.77297297,0.46031746,0.24739503,0.75070153,0.06882781,0.00000000,0.09625668,0.85000000,0.09625668,0.00000000,0.67608524,0
3,0.50015085,0.31185082,1.25533345,18.02961718,0.86067463,0.89189189,0.54435107,0.25180930,0.85164150,0.70092888,0.19130435,0.81686747,0.94318182,0.81686747,0.15000000,0.84031934,1
4,0.37811909,0.26626472,0.74569570,18.24491649,0.83842971,0.73693694,0.41083100,0.10802136,0.72611926,0.68318155,0.15306122,0.85430464,0.68636364,0.85430464,0.15000000,0.82449239,0
5,0.30760527,0.22467821,0.55284708,18.21160274,0.86672952,0.83423423,0.48085901,0.13904359,0.82189345,0.78716739,0.41836735,0.94230769,0.82727273,0.94230769,0.15000000,0.86633112,1
6,0.27460038,0.20572811,0.45914843,18.52064296,0.85000524,0.76396396,0.42670401,0.08030895,0.75063901,0.74053659,0.01020408,0.97222222,0.65454545,0.97222222,0.15000000,0.85128007,0
7,0.24825016,0.18609523,0.41436621,18.82705113,0.89975906,0.85765766,0.47245565,0.08844344,0.84613640,0.80882259,0.66326531,0.94488189,0.86590909,0.94488189,0.15000000,0.89517770,1
8,0.22573690,0.17241320,0.35549128,18.98001228,0.87091452,0.77477477,0.41736695,0.07251381,0.77785943,0.82113672,0.64347826,0.92931937,0.86818182,0.92931937,0.15000000,0.87177722,0
9,0.19709112,0.15521162,0.27919661,21.09982663,0.87973497,0.82342342,0.45751634,0.07226397,0.79617368,0.81132258,0.60204082,0.95170455,0.80000000,0.95170455,0.15000000,0.88009069,0
10,0.18769561,0.14585496,0.27893770,22.67636564,0.89532265,0.84684685,0.46591970,0.07570979,0.81085255,0.71604987,0.04081633,0.94078947,0.69090909,0.94078947,0.15000000,0.88194205,0
11,0.19378201,0.14718414,0.31065242,24.07945137,0.88379950,0.79279279,0.42296919,0.05068586,0.78340765,0.75561079,0.56122449,0.86842105,0.77727273,0.86842105,0.15000000,0.86944278,0
12,0.16738042,0.13123005,0.24100242,19.04083764,0.91369684,0.89909910,0.50046685,0.07727275,0.89680348,0.90481207,0.81632653,0.95522388,0.91363636,0.95522388,0.15000000,0.91696106,1
13,0.16087051,0.12515899,0.23807685,18.28711857,0.88366331,0.79639640,0.42670401,0.03838005,0.78909240,0.82796561,0.57142857,0.95224719,0.80909091,0.95224719,0.15000000,0.88495193,0
14,0.16913753,0.12962831,0.26339482,18.21972111,0.90912424,0.89189189,0.49766573,0.08966856,0.86668054,0.87095220,0.70408163,0.92838875,0.88863636,0.92838875,0.15000000,0.90723349,0
15,0.13575376,0.10319000,0.21709175,18.82974325,0.92297821,0.90990991,0.50233427,0.09808147,0.88437998,0.80155993,0.48695652,0.95348837,0.87954545,0.95348837,0.15000000,0.91388740,0
16,0.13719807,0.10506446,0.21422405,18.65377718,0.87929499,0.78378378,0.41830065,0.03798322,0.77318653,0.75045298,0.36521739,0.91576087,0.83636364,0.91576087,0.15000000,0.87005738,0
17,0.11826487,0.09233652,0.17285567,19.62417558,0.90695056,0.84684685,0.45471522,0.04209367,0.83249272,0.81947678,0.43877551,0.95522388,0.76136364,0.95522388,0.15000000,0.90303051,0
18,0.13862829,0.09918164,0.26297762,20.12225163,0.89812487,0.90090090,0.51727358,0.12331190,0.89490169,0.86219754,0.68695652,0.94146341,0.93181818,0.94146341,0.15000000,0.89886599,0
19,0.10830366,0.08422933,0.16049550,20.69610976,0.87806411,0.91891892,0.55462185,0.17240976,0.91376053,0.86000187,0.48695652,0.94626168,0.97272727,0.94626168,0.15000000,0.88307764,0
20,0.15111984,0.11912409,0.21330497,22.20955852,0.80430023,0.61441441,0.32119514,0.01429441,0.62284447,0.78053260,0.53061224,0.94501718,0.66136364,0.94501718,0.15000000,0.81599516,0
21,0.09985643,0.07190751,0.18632615,20.03533630,0.87762414,0.87927928,0.51540616,0.12135251,0.87431464,0.89019970,0.60869565,0.96341463,0.93181818,0.96341463,0.15000000,0.88746074,0
22,0.10715565,0.08452373,0.15087944,17.93301160,0.89772156,0.80900901,0.42577031,0.02450228,0.80044431,0.82677780,0.51304348,0.92525773,0.88181818,0.92525773,0.15000000,0.89338080,0
23,0.10697935,0.08580474,0.14116403,18.11715622,0.85544731,0.72252252,0.38001867,0.01377840,0.72069925,0.85194430,0.58163265,0.95664740,0.78636364,0.95664740,0.15000000,0.86521702,0
24,0.10523888,0.08237660,0.15241521,18.28551916,0.86736329,0.74054054,0.38655462,0.01142799,0.75320168,0.85017380,0.65306122,0.96296296,0.79772727,0.96296296,0.15000000,0.87520431,0
25,0.09793194,0.07410309,0.15885901,17.89700263,0.89895768,0.90450450,0.52007470,0.11856268,0.90092947,0.83648208,0.67346939,0.94550409,0.83409091,0.94550409,0.15000000,0.89736476,0
26,0.08784094,0.06986485,0.11984063,20.96916542,0.91383302,0.89549550,0.49673203,0.06775541,0.87882951,0.85736737,0.74489796,0.94041451,0.87727273,0.94041451,0.15000000,0.91084460,0
